id,word_sr_sing,word_sr_plur,word_ru,gender,type,category
1023,Ostatak,Ostaci,Остаток,m,noun,Basics
1024,Slika,Slike,Изображение,f,noun,Objects & Items
1025,Dogovor,Dogovori,Сделка,m,noun,Work & Study
1026,Sastav,Sastavi,Сочинение,m,noun,Work & Study
1027,Kupac,Kupci,Покупатель,m,noun,Work & Study
1028,Tenk,Tenkovi,Танк,m,noun,Objects & Items
1029,Trošak,Troškovi,Затрата,m,noun,Basics
1030,Red,Redovi,Строка,m,noun,Basics
1031,Jedinica,Jedinice,Единица,f,noun,Basics
1032,Obrada,Obrade,Обработка,f,noun,Work & Study
1033,Šampionat,Šampionati,Чемпионат,m,noun,Basics
